"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_00339",0.991649520992735,0,0,0.00835047900726548,0,0,0,0
"P_00341",0.952227866006558,0,0,0.0176493281039028,0.030122805889539,0,0,0
"P_00343",0.958890567736128,0,0,0.0411094322638719,0,0,0,0
"P_00346",0.915032469620009,0,0,0.0536472063267537,0.0313203240532373,0,0,0
"P_00349",0.971500675110911,0.0284993248890889,0,0,0,0,0,0
"P_00350",0.710433678390021,0.289558284575323,0,8.03703465569343e-06,0,0,0,0
"P_00351",0.919589468269787,0.0804105317302128,0,0,0,0,0,0
"P_00353",0.701488458818234,0.103983154375362,0,0.0564199832829679,0,0,0,0
"P_00356",0.635552626502925,0.364447373497075,0,0,0,0,0,0
"P_00358",0.629701665273581,0.23087185751945,0.0678647206326754,0,0,0,0,0
"P_01685",0.781456953642384,0.218543046357616,0,0,0,0,0,0
"P_00362",0.730269079920273,0.269730920079727,0,0,0,0,0,0
"P_00366",0.312278981546968,0.686242204076384,0,0.00147881437664759,0,0,0,0
"P_00368",0.93376679740243,0.0572076126792259,0,0.00902558991834373,0,0,0,0
"P_00371",0.938106796116505,0.0525782807175465,0,0.00931492316594869,0,0,0,0
"P_00374",0.984038449173793,0.0159615508262072,0,0,0,0,0,0
"P_00375",0.803253391628625,0.144618401594548,0,0,0,0,0,0
"P_00378",0.967417861505819,0,0,0.0325821384941812,0,0,0,0
"P_00379",0.90095962193789,0.017826142866328,0.0460441715424677,0.0351700636533145,0,0,0,0
"P_00387",0.769280846139008,0.110083263679033,0,0,0,0,0,0
"P_00391",0.54577894939883,0.314167684691056,0,0.0416961357937375,0,0,0,0
"P_00399",0.531979360895004,0.0161464026232881,0,0.00320677682762168,0,0,0,0
"P_00404",0.663979618080113,0.0758856812190574,0.00321481386227737,0.0196344756638591,0,0,0,0
"P_00407",0.643565550054652,0.165136951070533,0.0202452902976918,0.0362872114704559,0,0,0,0
"P_00412",0.464347714267344,0.42501446666238,0,0,0,0,0,0
"P_00414",0.944472127563814,0.0121359223300971,0,0.0105044042949913,0,0,0,0
"P_00422",0.973734970745194,0,0,0,0,0,0,0
"P_00424",0.991858483893783,0,0,0,0,0,0,0
"P_00427",0.97288304507169,0,0,0,0.0271169549283097,0,0,0
"P_00428",0.961374011444737,0,0,0.00346396193660387,0.0351620266186588,0,0,0
"P_00429",0.919991320002572,0,0.00312640648106475,0.069158683212242,0.00772359030412139,0,0,0
"P_00433",1,0,0,0,0,0,0,0
"P_00434",0.705105124413296,0,0,0,0.0423069504275702,0,0,0
"P_00435",0.947791422876615,0,0,0,0.0430543946505497,0,0,0
"P_00439",0.992517520735549,0,0,0,0.00748247926445059,0,0,0
"P_00440",0.965054973317045,0,0,0.0222625859962708,0.0126824406866842,0,0,0
"P_00443",1,0,0,0,0,0,0,0
"P_00445",0.958778049250948,0,0,0.0374686555648428,8.03703465569343e-06,0,0,0
"P_00448",1,0,0,0,0,0,0,0
"P_00450",NA,NA,NA,NA,NA,NA,NA,NA
"P_00452",1,0,0,0,0,0,0,0
"P_00453",1,0,0,0,0,0,0,0
"P_00458",1,0,0,0,0,0,0,0
"P_00460",0.979111746929853,0,0,0,0,0,0,0
"P_00464",0.98882048479393,0,0.0111473670674468,0,0,0,0,0
"P_00466",0.613081077605607,0,0,0,0.021314215906899,0.365604706487494,0,0
"P_00468",1,0,0,0,0,0,0,0
"P_00473",0.964211084678197,0,0,0.0357889153218029,0,0,0,0
"P_00475",0.882032405323732,0,7.23333119012409e-05,0.00797273837844789,0,0,0,0
"P_00478",0.982631968109047,0,0,0.00725744229409117,0,0,0,0
"P_00480",0.871889667588247,0,0,0.128110332411753,0,0,0,0
"P_00481",1,0,0,0,0,0,0,0
"P_00484",0.774119141001736,0,0.0462772455474828,0.179603613450781,0,0,0,0
"P_00486",0.542893653957436,0,0,0,0,0.457106346042564,0,0
"P_00488",0.547088986047708,0.0817286054137465,0.0399440622387964,0,0.0118465890824921,0.319391757217257,0,0
"P_00492",0.750225036970359,0.249774963029641,0,0,0,0,0,0
"P_00496",0.978517006365331,0,0.0115652928695429,0.0099177007651257,0,0,0,0
"P_00499",0.99072526200733,0,0,0.00927473799267022,0,0,0,0
"P_00500",0.984761782292805,0.0110027004436443,0.00324696200090015,0.000988555262650292,0,0,0,0
"P_00505",0.881284961100752,0,0,0,0.118715038899248,0,0,0
"P_00507",0.94315405388028,0,0,0,0.0568459461197197,0,0,0
"P_00509",0.72960200604385,0,0,0,0.27039799395615,0,0,0
"P_00512",0.980606635375812,0,0,0,0.00276473992155854,0,0,0
"P_00516",0.736031633768405,0.0680334983604449,0.0639265736513856,0.0751462740307336,0.00079566643091365,0.0327268051179837,0,0
"P_00518",1,0,0,0,0,0,0,0
"P_00520",0.759564071240275,0.110227930302835,0.00483025782807175,0.0387465440750981,0.0335224715488973,0.0101507747701408,0,0
"P_00521",0.746053815984055,0.189505240146596,0,0.0491705780235324,0.0152703658458175,0,0,0
"P_00522",0.965368417668617,0,0,0,0.0172635504404295,0,0,0
"P_00524",0.976925673503504,0,0,0,0.0230743264964959,0,0,0
"P_00534",0.895823956792902,0,0.0217321417089951,0.0315694721275638,0.040530765768662,0,0,0
"P_00535",0.990757410145953,0,0,0,0,0,0,0
"P_00539",0.931428020317624,0.020004179258021,0.0239744743779335,0.0200443644312994,0.00454896161512248,0,0,0
"P_00541",0.363796373689963,0.0969828971902527,0.0253086221307786,0.0540972802674725,0.00146274030733621,0,0,0
"P_00543",0.961599048415097,0,0,0,0,0,0,0
"P_00546",0.867276409695879,0,0,0.0119992927409503,0.012923551726355,0,0,0
