"","BC","MT","AG","UB","PT","RC","AC","ZH","LT"
"P_00995",1,0,0,0,0,0,0,0,0
"P_00999",1,0,0,0,0,0,0,0,0
"P_01000",1,0,0,0,0,0,0,0,0
"P_01007",1,0,0,0,0,0,0,0,0
"P_01014",1,0,0,0,0,0,0,0,0
"P_01016",0,1,0,0,0,0,0,0,0
"P_01019",0,1,0,0,0,0,0,0,0
"P_01026",0,1,0,0,0,0,0,0,0
"P_01029",0,1,0,0,0,0,0,0,0
"P_01037",1,0,0,0,0,0,0,0,0
"P_01041",1,0,0,0,0,0,0,0,0
"P_01047",1,0,0,0,0,0,0,0,0
"P_01050",1,0,0,0,0,0,0,0,0
"P_01057",1,0,0,0,0,0,0,0,0
"P_01058",1,0,0,0,0,0,0,0,0
"P_01059",1,0,0,0,0,0,0,0,0
"P_01062",1,0,0,0,0,0,0,0,0
"P_01063",1,0,0,0,0,0,0,0,0
"P_01068",1,0,0,0,0,0,0,0,0
"P_01072",0,1,0,0,0,0,0,0,0
"P_01074",1,0,0,0,0,0,0,0,0
"P_01077",1,0,0,0,0,0,0,0,0
"P_01079",1,0,0,0,0,0,0,0,0
"P_01080",1,0,0,0,0,0,0,0,0
"P_01082",1,0,0,0,0,0,0,0,0
"P_01087",1,0,0,0,0,0,0,0,0
"P_01089",1,0,0,0,0,0,0,0,0
"P_01090",1,0,0,0,0,0,0,0,0
"P_01093",1,0,0,0,0,0,0,0,0
"P_01097",1,0,0,0,0,0,0,0,0
"P_01102",1,0,0,0,0,0,0,0,0
"P_01103",1,0,0,0,0,0,0,0,0
"P_01107",1,0,0,0,0,0,0,0,0
"P_01109",1,0,0,0,0,0,0,0,0
"P_01110",1,0,0,0,0,0,0,0,0
"P_01111",1,0,0,0,0,0,0,0,0
"P_01116",1,0,0,0,0,0,0,0,0
"P_01119",1,0,0,0,0,0,0,0,0
"P_01124",1,0,0,0,0,0,0,0,0
"P_01125",1,0,0,0,0,0,0,0,0
"P_01129",1,0,0,0,0,0,0,0,0
"P_01131",1,0,0,0,0,0,0,0,0
"P_01136",0,1,0,0,0,0,0,0,0
"P_01140",1,0,0,0,0,0,0,0,0
"P_01143",1,0,0,0,0,0,0,0,0
"P_01147",0,1,0,0,0,0,0,0,0
"P_01150",1,0,0,0,0,0,0,0,0
"P_01151",0.173076923076923,0.826923076923077,0,0,0,0,0,0,0
"P_01152",1,0,0,0,0,0,0,0,0
"P_01154",1,0,0,0,0,0,0,0,0
"P_01155",1,0,0,0,0,0,0,0,0
"P_01158",1,0,0,0,0,0,0,0,0
"P_01164",0.346153846153846,0,0.653846153846154,0,0,0,0,0,0
"P_01165",1,0,0,0,0,0,0,0,0
"P_01168",1,0,0,0,0,0,0,0,0
"P_01170",0.942307692307692,0,0.0576923076923077,0,0,0,0,0,0
"P_01172",1,0,0,0,0,0,0,0,0
"P_01173",1,0,0,0,0,0,0,0,0
"P_01174",1,0,0,0,0,0,0,0,0
"P_01179",1,0,0,0,0,0,0,0,0
"P_01180",1,0,0,0,0,0,0,0,0
"P_01183",1,0,0,0,0,0,0,0,0
"P_01187",1,0,0,0,0,0,0,0,0
"P_01188",0,1,0,0,0,0,0,0,0
"P_01191",1,0,0,0,0,0,0,0,0
"P_01192",1,0,0,0,0,0,0,0,0
"P_01196",1,0,0,0,0,0,0,0,0
"P_01197",1,0,0,0,0,0,0,0,0
"P_01204",1,0,0,0,0,0,0,0,0
"P_01208",0.865384615384615,0.134615384615385,0,0,0,0,0,0,0
"P_01209",0,1,0,0,0,0,0,0,0
"P_01211",0,0,0,0,1,0,0,0,0
"P_01214",1,0,0,0,0,0,0,0,0
"P_01216",1,0,0,0,0,0,0,0,0
"P_01229",1,0,0,0,0,0,0,0,0
"P_01232",1,0,0,0,0,0,0,0,0
"P_01236",1,0,0,0,0,0,0,0,0
"P_01247",1,0,0,0,0,0,0,0,0
"P_01250",1,0,0,0,0,0,0,0,0
"P_01257",1,0,0,0,0,0,0,0,0
"P_01267",1,0,0,0,0,0,0,0,0
"P_01269",1,0,0,0,0,0,0,0,0
"P_01270",1,0,0,0,0,0,0,0,0
"P_01278",0,1,0,0,0,0,0,0,0
"P_01282",1,0,0,0,0,0,0,0,0
"P_01287",1,0,0,0,0,0,0,0,0
